date,daily_confirmed,total_confirmed,daily_recovered,total_recovered,daily_deceased,total_deceased
01-Mar-20,0.0,0.0,0,0,0.0,0.0
02-Mar-20,0.0,0.0,0,0,0.0,0.0
03-Mar-20,0.0,0.0,0,0,0.0,0.0
04-Mar-20,0.0,0.0,0,0,0.0,0.0
05-Mar-20,0.0,0.0,0,0,0.0,0.0
06-Mar-20,0.0,0.0,0,0,0.0,0.0
07-Mar-20,0.0,0.0,0,0,0.0,0.0
08-Mar-20,0.0,0.0,0,0,0.0,0.0
09-Mar-20,0.0,0.0,0,0,0.0,0.0
10-Mar-20,0.0,0.0,0,0,0.0,0.0
11-Mar-20,0.0,0.0,0,0,0.0,0.0
12-Mar-20,0.0,0.0,0,0,0.0,0.0
13-Mar-20,0.0,0.0,0,0,0.0,0.0
14-Mar-20,0.0,0.0,0,0,0.0,0.0
15-Mar-20,0.0,0.0,0,0,0.0,0.0
16-Mar-20,0.0,0.0,0,0,0.0,0.0
17-Mar-20,0.0,0.0,0,0,0.0,0.0
18-Mar-20,0.0,0.0,0,0,0.0,0.0
19-Mar-20,0.0,0.0,0,0,0.0,0.0
20-Mar-20,0.0,0.0,0,0,0.0,0.0
21-Mar-20,1.0,1.0,0,0,0.0,0.0
22-Mar-20,0.0,1.0,0,0,0.0,0.0
23-Mar-20,1.0,2.0,0,0,0.0,0.0
24-Mar-20,0.0,2.0,0,0,0.0,0.0
25-Mar-20,0.0,2.0,0,0,0.0,0.0
26-Mar-20,1.0,3.0,0,0,0.0,0.0
27-Mar-20,0.0,3.0,0,0,0.0,0.0
28-Mar-20,0.0,3.0,0,0,0.0,0.0
29-Mar-20,5.0,8.0,0,0,0.0,0.0
30-Mar-20,4.0,12.0,0,0,0.0,0.0
31-Mar-20,2.0,14.0,0,0,0.0,0.0
01-Apr-20,5.0,19.0,0,0,0.0,0.0
02-Apr-20,2.0,21.0,0,0,0.0,0.0
03-Apr-20,0.0,21.0,0,0,0.0,0.0
04-Apr-20,7.0,28.0,0,0,0.0,0.0
05-Apr-20,0.0,28.0,0,0,0.0,0.0
06-Apr-20,7.0,35.0,0,0,0.0,0.0
07-Apr-20,0.0,35.0,0,0,0.0,0.0
08-Apr-20,0.0,35.0,0,0,0.0,0.0
09-Apr-20,2.0,37.0,0,0,0.0,0.0
10-Apr-20,5.0,42.0,0,0,0.0,0.0
11-Apr-20,5.0,47.0,0,0,0.0,0.0
12-Apr-20,1.0,48.0,0,0,0.0,0.0
13-Apr-20,0.0,48.0,0,0,0.0,0.0
14-Apr-20,0.0,48.0,0,0,0.0,0.0
15-Apr-20,10.0,58.0,0,0,0.0,0.0
16-Apr-20,3.0,61.0,0,0,0.0,0.0
17-Apr-20,12.0,73.0,0,0,0.0,0.0
18-Apr-20,7.0,80.0,0,0,0.0,0.0
