Date,New Cases,Total Cases,Daily Recovered,Total Recovered,Daily Dead,Total Dead
14-Mar-20,5,5,0,0,1,1
15-Mar-20,0,5,0,0,0,1
16-Mar-20,1,6,0,0,0,1
17-Mar-20,1,7,0,0,0,1
18-Mar-20,1,8,0,0,0,1
19-Mar-20,1,9,0,0,0,1
20-Mar-20,2,11,0,0,0,1
21-Mar-20,8,19,0,0,0,1
22-Mar-20,5,24,0,0,1,2
23-Mar-20,11,35,0,0,0,2
24-Mar-20,6,41,0,0,0,2
25-Mar-20,7,48,0,0,0,2
26-Mar-20,1,49,0,0,0,2
27-Mar-20,2,51,0,0,0,2
28-Mar-20,22,73,0,0,0,2
29-Mar-20,5,78,0,0,0,2
30-Mar-20,7,85,0,0,0,2
31-Mar-20,59,144,0,0,0,2
01-Apr-20,30,174,0,0,0,2
02-Apr-20,54,228,0,0,0,2
03-Apr-20,43,271,0,0,0,2
04-Apr-20,99,370,0,0,0,2
05-Apr-20,81,451,0,0,0,2
06-Apr-20,67,518,0,0,0,2
07-Apr-20,124,642,0,0,0,2
08-Apr-20,72,714,0,0,0,2
09-Apr-20,162,876,0,0,0,2
10-Apr-20,132,1008,0,0,0,2
11-Apr-20,138,1146,0,0,0,2
12-Apr-20,152,1298,0,0,0,2
13-Apr-20,242,1540,0,0,0,2
14-Apr-20,216,1756,0,0,0,2
15-Apr-20,140,1896,0,0,0,2
16-Apr-20,107,2003,0,0,0,2
