Date,New Cases,Total Cases,Daily Recovered,Total Recovered,Daily Dead,Total Dead
14-Mar-20,0,10,0,0,0,0
15-Mar-20,5,15,0,0,0,0
16-Mar-20,1,16,0,0,0,0
17-Mar-20,1,17,0,0,0,0
18-Mar-20,2,19,0,0,0,0
19-Mar-20,0,19,0,0,0,0
20-Mar-20,2,21,0,0,0,0
21-Mar-20,2,23,0,0,0,0
22-Mar-20,4,27,0,0,0,0
23-Mar-20,1,28,0,0,0,0
24-Mar-20,3,31,0,0,0,0
25-Mar-20,0,31,0,0,0,0
26-Mar-20,0,31,0,0,0,0
27-Mar-20,1,32,0,0,0,0
28-Mar-20,0,32,0,0,0,0
29-Mar-20,5,37,0,0,0,0
30-Mar-20,6,43,0,0,0,0
31-Mar-20,5,48,0,0,0,0
01-Apr-20,2,50,0,0,0,0
02-Apr-20,11,61,0,0,0,0
03-Apr-20,9,70,0,0,0,0
04-Apr-20,12,82,0,0,0,0
05-Apr-20,18,100,0,0,0,0
06-Apr-20,41,141,0,0,0,0
07-Apr-20,10,151,0,0,0,0
08-Apr-20,38,189,0,0,0,0
09-Apr-20,17,206,0,0,0,0
10-Apr-20,42,248,0,0,0,0
11-Apr-20,9,257,0,0,0,0
12-Apr-20,6,263,0,0,0,0
13-Apr-20,45,308,0,0,0,0
14-Apr-20,43,351,0,0,0,0
15-Apr-20,56,407,0,0,0,0
16-Apr-20,23,430,0,0,0,0
